target,right,left,
50,0,0,
50,0,0,
50,0,0,
50,0,0,
50,3.17,0,
50,3.17,2.82,
50,3.17,2.82,
50,3.17,2.82,
50,5.84,8.55,
50,5.84,8.55,
50,9.83,11.26,
50,9.83,11.26,
50,12.18,13.22,
50,12.18,15.19,
50,14.04,16.81,
50,15.81,16.81,
50,15.81,18.2,
50,17.19,19.62,
50,18.5,20.9,
50,19.95,21.6,
50,21.07,22.43,
50,22.66,23,
50,23.65,23.85,
50,24.49,24.7,
50,25.4,26.17,
50,26.01,27.1,
50,27.39,27.14,
50,27.9,27.67,
50,28.86,27.91,
50,29.61,29.26,
50,30.09,29.71,
50,30.44,30.21,
50,31.23,30.89,
50,31.55,31.23,
50,32.69,31.79,
50,32.72,32.42,
50,33.05,33.07,
50,33.4,33.82,
50,34.12,33.75,
50,34.84,33.75,
50,34.94,34.63,
50,35.19,34.82,
50,35.45,35.9,
50,35.86,35.49,
50,36.68,35.63,
50,36.74,36.44,
50,36.87,36.66,
50,36.92,37.49,
50,37.52,37.16,
50,38.23,37.05,
50,38.37,37.9,
50,38.34,38.27,
50,38.6,38.92,
50,38.63,38.6,
50,39.26,38.6,
50,39.16,39.09,
50,38.89,39.26,
50,39.26,39.18,
50,39.91,39.14,
50,39.83,39.71,
50,39.96,39.76,
50,39.76,40.61,
50,40.22,40.04,
50,40.8,40.17,
50,40.77,40.64,
50,40.56,40.8,
50,40.93,40.77,
50,41.61,40.66,
50,41.5,41.34,
50,41.53,41.53,
50,41.69,41.47,
50,42.29,41.31,
50,42.12,41.53,
50,42.06,41.97,
50,41.69,42.66,
50,42.03,42,
50,42.49,41.83,
50,42.26,42.29,
50,41.81,42.93,
50,42.12,42.26,
50,42.6,41.95,
50,42.37,42.43,
50,42.03,42.63,
50,42.4,42.6,
50,42.87,42.34,
50,42.87,43.04,
50,42.75,43.16,
50,42.81,43.13,
50,43.37,42.9,
50,43.37,43.46,
50,43.16,43.61,
50,43.16,43.43,
50,43.65,43.19,
50,43.4,43.58,
50,43.07,43.61,
50,43.16,44.29,
50,43.07,43.65,
50,43.61,43.49,
50,43.37,43.92,
50,42.93,44.71,
50,43.25,43.95,
50,43.95,43.92,
50,44.01,44.2,
50,43.31,44.8,
50,43.58,44.08,
50,44.05,43.89,
50,43.74,44.42,
50,43.28,45.19,
50,43.55,44.42,
50,44.14,44.29,
50,43.95,44.64,
50,43.58,45.16,
50,43.89,44.45,
50,44.36,44.2,
50,44.14,44.74,
50,43.65,45.45,
50,43.89,44.67,
50,44.33,44.58,
50,44.14,44.96,
50,43.83,45.59,
50,44.14,44.8,
50,44.61,44.58,
50,44.48,45.09,
50,44.26,45.82,
50,44.26,44.96,
50,44.67,44.8,
50,44.48,45.19,
50,44.29,45.75,
50,44.33,45.03,
50,44.84,44.9,
50,44.71,45.32,
50,44.48,46.02,
50,44.48,45.19,
50,44.9,44.87,
50,44.77,45.36,
50,44.52,45.92,
50,44.61,45.22,
50,45.16,45.13,
50,44.93,45.45,
50,44.58,46.09,
50,44.64,45.29,
50,45.06,45,
50,44.93,45.52,
50,44.67,45.49,
50,44.71,45.16,
50,45.26,45.62,
50,45.06,45.69,
50,44.74,45.49,
50,44.74,45.16,
50,45.16,45.72,
50,44.96,45.82,
50,44.8,45.55,
50,44.8,45.26,
50,45.36,45.75,
50,45.19,45.85,
50,44.8,45.79,
50,44.8,45.42,
50,45.26,45.99,
50,45.13,46.02,
50,44.93,45.96,
50,44.93,45.45,
50,45.32,46.13,
50,45.16,46.19,
50,45,45.92,
50,45,45.62,
50,45.45,46.09,
50,45.26,46.82,
50,45.13,46.02,
50,45.13,45.89,
50,45.55,46.26,
50,45.19,46.85,
50,44.84,46.13,
50,45.16,45.92,
50,45.75,46.33,
50,45.42,46.99,
50,44.93,46.16,
50,45.19,45.85,
50,45.65,46.36,
50,45.36,47.1,
50,45.03,46.19,
50,45.36,46.02,
50,45.79,46.43,
50,45.52,46.26,
50,45.03,45.85,
50,45.32,46.5,
50,45.82,46.61,
50,45.55,46.3,
50,45.13,45.89,
50,45.45,46.5,
50,45.85,46.64,
50,45.55,46.43,
50,45.22,46.09,
50,45.52,46.54,
50,45.99,47.31,
50,45.72,46.5,
50,45.26,46.23,
50,45.52,46.68,
50,46.13,47.24,
50,45.75,46.54,
50,45.72,46.33,
50,46.16,46.75,
50,45.92,47.38,
50,45.65,46.57,
50,45.72,46.3,
50,46.26,46.78,
50,46.02,46.68,
50,45.79,46.3,
50,45.75,46.78,
50,46.19,46.85,
50,46.06,46.75,
50,45.89,46.36,
50,45.82,46.96,
50,46.3,46.96,
50,46.09,46.78,
50,45.75,46.16,
50,45.85,46.99,
50,46.36,47.64,
50,46.13,46.85,
50,45.59,46.61,
50,45.79,47.06,
50,46.33,47.86,
50,46.09,46.92,
