Target,Right Motor,Left Motor,Time (ms)
50,0,0,0
50,0,0,0.001
50,0,0,0.002
50,0,0,0.003
50,3.17,0,0.004
50,3.17,2.82,0.005
50,3.17,2.82,0.006
50,3.17,2.82,0.007
50,5.84,8.55,0.008
50,5.84,8.55,0.009
50,9.83,11.26,0.01
50,9.83,11.26,0.011
50,12.18,13.22,0.012
50,12.18,15.19,0.013
50,14.04,16.81,0.014
50,15.81,16.81,0.015
50,15.81,18.2,0.016
50,17.19,19.62,0.017
50,18.5,20.9,0.018
50,19.95,21.6,0.019
50,21.07,22.43,0.02
50,22.66,23,0.021
50,23.65,23.85,0.022
50,24.49,24.7,0.023
50,25.4,26.17,0.024
50,26.01,27.1,0.025
50,27.39,27.14,0.026
50,27.9,27.67,0.027
50,28.86,27.91,0.028
50,29.61,29.26,0.029
50,30.09,29.71,0.03
50,30.44,30.21,0.031
50,31.23,30.89,0.032
50,31.55,31.23,0.033
50,32.69,31.79,0.034
50,32.72,32.42,0.035
50,33.05,33.07,0.036
50,33.4,33.82,0.037
50,34.12,33.75,0.038
50,34.84,33.75,0.039
50,34.94,34.63,0.04
50,35.19,34.82,0.041
50,35.45,35.9,0.042
50,35.86,35.49,0.043
50,36.68,35.63,0.044
50,36.74,36.44,0.045
50,36.87,36.66,0.046
50,36.92,37.49,0.047
50,37.52,37.16,0.048
50,38.23,37.05,0.049
50,38.37,37.9,0.05
50,38.34,38.27,0.051
50,38.6,38.92,0.052
50,38.63,38.6,0.053
50,39.26,38.6,0.054
50,39.16,39.09,0.055
50,38.89,39.26,0.056
50,39.26,39.18,0.057
50,39.91,39.14,0.058
50,39.83,39.71,0.059
50,39.96,39.76,0.06
50,39.76,40.61,0.061
50,40.22,40.04,0.062
50,40.8,40.17,0.063
50,40.77,40.64,0.064
50,40.56,40.8,0.065
50,40.93,40.77,0.066
50,41.61,40.66,0.067
50,41.5,41.34,0.068
50,41.53,41.53,0.069
50,41.69,41.47,0.07
50,42.29,41.31,0.071
50,42.12,41.53,0.072
50,42.06,41.97,0.073
50,41.69,42.66,0.074
50,42.03,42,0.075
50,42.49,41.83,0.076
50,42.26,42.29,0.077
50,41.81,42.93,0.078
50,42.12,42.26,0.079
50,42.6,41.95,0.08
50,42.37,42.43,0.081
50,42.03,42.63,0.082
50,42.4,42.6,0.083
50,42.87,42.34,0.084
50,42.87,43.04,0.085
50,42.75,43.16,0.086
50,42.81,43.13,0.087
50,43.37,42.9,0.088
50,43.37,43.46,0.089
50,43.16,43.61,0.09
50,43.16,43.43,0.091
50,43.65,43.19,0.092
50,43.4,43.58,0.093
50,43.07,43.61,0.094
50,43.16,44.29,0.095
50,43.07,43.65,0.096
50,43.61,43.49,0.097
50,43.37,43.92,0.098
50,42.93,44.71,0.099
50,43.25,43.95,0.1
50,43.95,43.92,0.101
50,44.01,44.2,0.102
50,43.31,44.8,0.103
50,43.58,44.08,0.104
50,44.05,43.89,0.105
50,43.74,44.42,0.106
50,43.28,45.19,0.107
50,43.55,44.42,0.108
50,44.14,44.29,0.109
50,43.95,44.64,0.11
50,43.58,45.16,0.111
50,43.89,44.45,0.112
50,44.36,44.2,0.113
50,44.14,44.74,0.114
50,43.65,45.45,0.115
50,43.89,44.67,0.116
50,44.33,44.58,0.117
50,44.14,44.96,0.118
50,43.83,45.59,0.119
50,44.14,44.8,0.12
50,44.61,44.58,0.121
50,44.48,45.09,0.122
50,44.26,45.82,0.123
50,44.26,44.96,0.124
50,44.67,44.8,0.125
50,44.48,45.19,0.126
50,44.29,45.75,0.127
50,44.33,45.03,0.128
50,44.84,44.9,0.129
50,44.71,45.32,0.13
50,44.48,46.02,0.131
50,44.48,45.19,0.132
50,44.9,44.87,0.133
50,44.77,45.36,0.134
50,44.52,45.92,0.135
50,44.61,45.22,0.136
50,45.16,45.13,0.137
50,44.93,45.45,0.138
50,44.58,46.09,0.139
50,44.64,45.29,0.14
50,45.06,45,0.141
50,44.93,45.52,0.142
50,44.67,45.49,0.143
50,44.71,45.16,0.144
50,45.26,45.62,0.145
50,45.06,45.69,0.146
50,44.74,45.49,0.147
50,44.74,45.16,0.148
50,45.16,45.72,0.149
50,44.96,45.82,0.15
50,44.8,45.55,0.151
50,44.8,45.26,0.152
50,45.36,45.75,0.153
50,45.19,45.85,0.154
50,44.8,45.79,0.155
50,44.8,45.42,0.156
50,45.26,45.99,0.157
50,45.13,46.02,0.158
50,44.93,45.96,0.159
50,44.93,45.45,0.16
50,45.32,46.13,0.161
50,45.16,46.19,0.162
50,45,45.92,0.163
50,45,45.62,0.164
50,45.45,46.09,0.165
50,45.26,46.82,0.166
50,45.13,46.02,0.167
50,45.13,45.89,0.168
50,45.55,46.26,0.169
50,45.19,46.85,0.17
50,44.84,46.13,0.171
50,45.16,45.92,0.172
50,45.75,46.33,0.173
50,45.42,46.99,0.174
50,44.93,46.16,0.175
50,45.19,45.85,0.176
50,45.65,46.36,0.177
50,45.36,47.1,0.178
50,45.03,46.19,0.179
50,45.36,46.02,0.18
50,45.79,46.43,0.181
50,45.52,46.26,0.182
50,45.03,45.85,0.183
50,45.32,46.5,0.184
50,45.82,46.61,0.185
50,45.55,46.3,0.186
50,45.13,45.89,0.187
50,45.45,46.5,0.188
50,45.85,46.64,0.189
50,45.55,46.43,0.19
50,45.22,46.09,0.191
50,45.52,46.54,0.192
50,45.99,47.31,0.193
50,45.72,46.5,0.194
50,45.26,46.23,0.195
50,45.52,46.68,0.196
50,46.13,47.24,0.197
50,45.75,46.54,0.198
