Target,Right Motor,Left Motor,Time (ms)
50,1.41,1.2,0
50,1.41,1.2,0.001
50,1.41,1.2,0.002
50,1.41,1.2,0.003
50,1.31,1.2,0.004
50,1.13,1.2,0.005
50,0.97,1.2,0.006
50,0.83,1.12,0.007
50,1.17,0.96,0.008
50,1.9,1.48,0.009
50,2.78,2.58,0.01
50,3.78,3.71,0.011
50,4.82,4.87,0.012
50,6.03,6,0.013
50,7.22,7.11,0.014
50,8.34,8.18,0.015
50,9.55,9.32,0.016
50,10.81,10.51,0.017
50,11.98,11.73,0.018
50,13.06,12.97,0.019
50,14.15,14.19,0.02
50,15.24,15.42,0.021
50,16.39,16.61,0.022
50,17.59,17.73,0.023
50,18.77,18.81,0.024
50,19.93,19.85,0.025
50,21.08,20.94,0.026
50,22.21,22.07,0.027
50,23.27,23.18,0.028
50,24.33,24.28,0.029
50,25.43,25.3,0.03
50,26.54,26.31,0.031
50,27.61,27.32,0.032
50,28.63,28.32,0.033
50,29.68,29.29,0.034
50,30.73,30.16,0.035
50,31.75,30.99,0.036
50,32.71,31.84,0.037
50,33.64,32.67,0.038
50,34.57,33.44,0.039
50,35.45,34.12,0.04
50,36.24,34.78,0.041
50,36.93,35.48,0.042
50,37.58,36.12,0.043
50,38.25,36.65,0.044
50,38.89,37.18,0.045
50,39.44,37.73,0.046
50,39.94,38.26,0.047
50,40.47,38.72,0.048
50,40.97,39.18,0.049
50,41.4,39.66,0.05
50,41.8,40.1,0.051
50,42.24,40.48,0.052
50,42.67,40.84,0.053
50,43.05,41.21,0.054
50,43.43,41.54,0.055
50,43.78,41.82,0.056
50,44.08,42.09,0.057
50,44.35,42.39,0.058
50,44.63,42.67,0.059
50,44.91,42.9,0.06
50,45.12,43.14,0.061
50,45.31,43.39,0.062
50,45.53,43.61,0.063
50,45.76,43.77,0.064
50,45.9,43.94,0.065
50,46.02,44.14,0.066
50,46.19,44.33,0.067
50,46.38,44.48,0.068
50,46.51,44.64,0.069
50,46.66,44.85,0.07
50,46.81,45.04,0.071
50,46.92,45.14,0.072
50,47.01,45.25,0.073
50,47.12,45.44,0.074
50,47.24,45.59,0.075
50,47.28,45.68,0.076
50,47.32,45.77,0.077
